review_text,rating,review_date,bank,source,app_package
"It does not show the name of the person who sent the money to request a receipt. This has become very difficult for us. When different people transfer the same amount to me from different banks, it is very difficult to identify the account or the name of the sender.",3,2025-10-01,BOA,Google Play,com.boa.boaMobileBanking
Like,5,2025-10-01,BOA,Google Play,com.boa.boaMobileBanking
I can't type my otp on it.,1,2025-10-01,BOA,Google Play,com.boa.boaMobileBanking
"most of bank apps in Ethiopia are linked with ethiopian phone number, I live in US permanently so when I open BoA account, I told them where I live and to link it with email address instead of phone # as ethio phone number is not working where I live, unfortunetly my fear appeared and now when I change my phone device, it send the code to the ethio number which is not with me now. so please when u develop bank apps consider the diaspora community to use ur apps",1,2025-10-01,BOA,Google Play,com.boa.boaMobileBanking
jaajja,4,2025-09-30,BOA,Google Play,com.boa.boaMobileBanking
I love this bank the best experience ever.,5,2025-09-28,BOA,Google Play,com.boa.boaMobileBanking
"Nothing has been improved, it doesn't work like the previous version.",1,2025-09-25,BOA,Google Play,com.boa.boaMobileBanking
easy and fast,5,2025-09-24,BOA,Google Play,com.boa.boaMobileBanking
Great,5,2025-09-20,BOA,Google Play,com.boa.boaMobileBanking
mobile banking,5,2025-09-19,BOA,Google Play,com.boa.boaMobileBanking
😎,5,2025-09-17,BOA,Google Play,com.boa.boaMobileBanking
"need alot of connection, chooses device, very lug even when there is connection",1,2025-09-17,BOA,Google Play,com.boa.boaMobileBanking
On my ios it's perfect but on android it barley works and don't transfer and after a while it crushed and totally stopped working. Please fix the issue my beloved bank of abyssinia.,1,2025-09-15,BOA,Google Play,com.boa.boaMobileBanking
since the last update i can open the app crashes a lot and omg its being very slow opening and loading,2,2025-09-15,BOA,Google Play,com.boa.boaMobileBanking
none,5,2025-09-14,BOA,Google Play,com.boa.boaMobileBanking
very good app i ever used,5,2025-09-12,BOA,Google Play,com.boa.boaMobileBanking
its nice app especially the transaction limit is extended but We face that BoA m.banking app doesn't respond at the activation stage strictly at SMSNG mobile phone. please try this to make safe.,4,2025-09-11,BOA,Google Play,com.boa.boaMobileBanking
zedo,5,2025-09-10,BOA,Google Play,com.boa.boaMobileBanking
please open my mobile app,5,2025-09-10,BOA,Google Play,com.boa.boaMobileBanking
it doesn't open,1,2025-09-10,BOA,Google Play,com.boa.boaMobileBanking
masha alla,5,2025-09-07,BOA,Google Play,com.boa.boaMobileBanking
Best banking transaction application in Ethiopia !,5,2025-09-05,BOA,Google Play,com.boa.boaMobileBanking
السلام عليكم ورحمة الله وبركاته ماشاء الله تبارك الرحمن هذا التطبيق ممتاز جدا,5,2025-09-04,BOA,Google Play,com.boa.boaMobileBanking
tamaam kamal,1,2025-09-03,BOA,Google Play,com.boa.boaMobileBanking
በጣም ሐሪፍ,5,2025-09-03,BOA,Google Play,com.boa.boaMobileBanking
great 👍,5,2025-09-02,BOA,Google Play,com.boa.boaMobileBanking
absiniya banki,5,2025-08-29,BOA,Google Play,com.boa.boaMobileBanking
has issue after installation and i think it doesn't work with tecno common 30,1,2025-08-26,BOA,Google Play,com.boa.boaMobileBanking
One of the best in this business,5,2025-08-25,BOA,Google Play,com.boa.boaMobileBanking
Excellent,5,2025-08-20,BOA,Google Play,com.boa.boaMobileBanking
besat🥰,5,2025-08-19,BOA,Google Play,com.boa.boaMobileBanking
unlimited experience,5,2025-08-18,BOA,Google Play,com.boa.boaMobileBanking
"as bank, u should at least hire someone good at their job bc this a joke nowadays I can't even log in or even transfer without it crashing if u fix the app I will update this review I am counting on u boa update: so they atleast fixed it but as suggestion can u put password when in final step of sending money it will feel more secure that way",4,2025-08-17,BOA,Google Play,com.boa.boaMobileBanking
very nice mobile banking app my favourite,5,2025-08-16,BOA,Google Play,com.boa.boaMobileBanking
"it almost never boots up!!! and even if it did, it crashes immediately",1,2025-08-15,BOA,Google Play,com.boa.boaMobileBanking
best apps,5,2025-08-15,BOA,Google Play,com.boa.boaMobileBanking
the worst app ever to exist in a bank history,1,2025-08-15,BOA,Google Play,com.boa.boaMobileBanking
thank you,5,2025-08-14,BOA,Google Play,com.boa.boaMobileBanking
Best mobile app in the country,5,2025-08-14,BOA,Google Play,com.boa.boaMobileBanking
not fast,2,2025-08-12,BOA,Google Play,com.boa.boaMobileBanking
keeps freezing at the front page.,1,2025-08-10,BOA,Google Play,com.boa.boaMobileBanking
it is not working on redminote 11 pro+ pls fix it,1,2025-08-08,BOA,Google Play,com.boa.boaMobileBanking
abseniya bank app,5,2025-08-08,BOA,Google Play,com.boa.boaMobileBanking
yes goode app,5,2025-08-03,BOA,Google Play,com.boa.boaMobileBanking
Great App,5,2025-08-02,BOA,Google Play,com.boa.boaMobileBanking
1) Crashes repeatedly 2) Takes Century to Boot 3) Repeatedly requires Update which is very annoying. 4) It doesn't ask for Password for one step confirmation when transferring money. 5) Automatically stops music when the app is launched (it doesn't really matter just fyi) Overall this have to be the worst mobile banking app I have tried so far and should not be released with all these bugs & issues.,1,2025-08-02,BOA,Google Play,com.boa.boaMobileBanking
ረጀብነሱ,1,2025-07-31,BOA,Google Play,com.boa.boaMobileBanking
The Worst Mobile Banking App.,1,2025-07-31,BOA,Google Play,com.boa.boaMobileBanking
giod,5,2025-07-30,BOA,Google Play,com.boa.boaMobileBanking
